//ID,Type,Name,Level,Stack,Durability
01000000,ITEM_ETC_GOLD_01,Gold,0,0,0
02000000,ITEM_ETC_GOLD_02,Gold,0,0,0
03000000,ITEM_ETC_GOLD_03,Gold,0,0,0
04000000,ITEM_ETC_HP_POTION_01,HP Recovery Herb ,0,50,0
05000000,ITEM_ETC_HP_POTION_02,HP Recovery Potion (Small) ,0,50,0
06000000,ITEM_ETC_HP_POTION_03,HP Recovery Potion (Medium) ,0,50,0
07000000,ITEM_ETC_HP_POTION_04,HP Recovery Potion (Large) ,0,50,0
08000000,ITEM_ETC_HP_POTION_05,HP Recovery Potion (X-Large),0,50,0
09000000,ITEM_ETC_HP_SPOTION_01,HP Recovery Grain (Small),0,50,0
0B000000,ITEM_ETC_MP_POTION_01,MP Recovery Herb ,0,50,0
0C000000,ITEM_ETC_MP_POTION_02,MP Recovery Potion (Small) ,0,50,0
0D000000,ITEM_ETC_MP_POTION_03,MP Recovery Potion (Medium) ,0,50,0
0E000000,ITEM_ETC_MP_POTION_04,MP Recovery Potion (Large) ,0,50,0
0F000000,ITEM_ETC_MP_POTION_05,MP Recovery Potion (X-Large),0,50,0
10000000,ITEM_ETC_MP_SPOTION_01,MP Recovery Grain (Small),0,50,0
12000000,ITEM_ETC_ALL_POTION_01,Vigor Recovery Herb ,0,50,0
13000000,ITEM_ETC_ALL_POTION_02,Vigor Recovery Potion (Small) ,0,50,0
14000000,ITEM_ETC_ALL_POTION_03,Vigor Recovery Potion (Medium) ,0,50,0
15000000,ITEM_ETC_ALL_POTION_04,Vigor Recovery Potion (Large) ,0,50,0
16000000,ITEM_ETC_ALL_POTION_05,Vigor Recovery Potion (X-Large) ,0,50,0
17000000,ITEM_ETC_ALL_SPOTION_01,Vigor Recovery Grain (Small),0,50,0
3D000000,ITEM_ETC_SCROLL_RETURN_01,Return Scroll,0,50,0
3E000000,ITEM_ETC_AMMO_ARROW_01,Arrow ,0,250,0
3F000000,ITEM_ETC_FIREWORK_BOOMB_R,Bomb (red),0,10,0
40000000,ITEM_ETC_FIREWORK_BOOMB_G,Bomb (green),0,10,0
41000000,ITEM_ETC_FIREWORK_BOOMB_B,Bomb (blue),0,10,0
42000000,ITEM_ETC_FIREWORK_BOOMB_V,Bomb (violet),0,10,0
43000000,ITEM_ETC_FIREWORK_SPIN,Spin firework,0,1,0
44000000,ITEM_ETC_FIREWORK_SPRAY,Spray firework,0,1,0
45000000,ITEM_ETC_FIREWORK_CHAINBOMB,Chain bomb,0,10,0
46000000,ITEM_ETC_CAMPFIRE,Campfire,0,1,0
47000000,ITEM_CH_SWORD_01_A,Copper Sword,1,1,62
48000000,ITEM_CH_SWORD_01_B,Short Copper Sword,3,1,63
49000000,ITEM_CH_SWORD_01_C,Long Copper Sword,5,1,65
4A000000,ITEM_CH_SWORD_02_A,Infantry Bronze Sword,8,1,67
4B000000,ITEM_CH_SWORD_02_B,Lancer Bronze Sword,10,1,68
4C000000,ITEM_CH_SWORD_02_C,Cavalry Bronze Sword,13,1,70
4D000000,ITEM_CH_SWORD_03_A,Bloody Sharp Sword,16,1,71
4E000000,ITEM_CH_SWORD_03_B,Deadly Sharp Sword,18,1,73
4F000000,ITEM_CH_SWORD_03_C,Spiritual Sharp Sword,21,1,75
50000000,ITEM_CH_SWORD_04_A,Snake Frost Sword,24,1,76
51000000,ITEM_CH_SWORD_04_B,Inexorable Frost Sword,26,1,78
52000000,ITEM_CH_SWORD_04_C,Cruel Frost Sword,29,1,79
53000000,ITEM_CH_SWORD_05_A,Iron Lord's Sword,32,1,81
54000000,ITEM_CH_SWORD_05_B,Silver Lord's Sword,35,1,83
