//ID,Type,Name,Level,Hp
73070000,CHAR_CH_MAN_ADVENTURER,CHAR_CH_MAN_ADVENTURER,1,0
74070000,CHAR_CH_MAN_BOGY,CHAR_CH_MAN_BOGY,1,0
75070000,CHAR_CH_MAN_FIGHTER,CHAR_CH_MAN_FIGHTER,1,0
76070000,CHAR_CH_MAN_MERCHANT,CHAR_CH_MAN_MERCHANT,1,0
77070000,CHAR_CH_MAN_MONK,CHAR_CH_MAN_MONK,1,0
78070000,CHAR_CH_MAN_MONKEY,CHAR_CH_MAN_MONKEY,1,0
79070000,CHAR_CH_MAN_NECROMANCER,CHAR_CH_MAN_NECROMANCER,1,0
7A070000,CHAR_CH_MAN_NOBLEBOY,CHAR_CH_MAN_NOBLEBOY,1,0
7B070000,CHAR_CH_MAN_PERFORMER,CHAR_CH_MAN_PERFORMER,1,0
7C070000,CHAR_CH_MAN_PRIEST,CHAR_CH_MAN_PRIEST,1,0
7D070000,CHAR_CH_MAN_SCHOLAR,CHAR_CH_MAN_SCHOLAR,1,0
7E070000,CHAR_CH_MAN_TATTOO,CHAR_CH_MAN_TATTOO,1,0
7F070000,CHAR_CH_MAN_WARRIOR,CHAR_CH_MAN_WARRIOR,1,0
80070000,CHAR_CH_WOMAN_ADVENTURER,CHAR_CH_WOMAN_ADVENTURER,1,0
81070000,CHAR_CH_WOMAN_ASSASSIN,CHAR_CH_WOMAN_ASSASSIN,1,0
82070000,CHAR_CH_WOMAN_BOGY,CHAR_CH_WOMAN_BOGY,1,0
83070000,CHAR_CH_WOMAN_FIGHTER,CHAR_CH_WOMAN_FIGHTER,1,0
84070000,CHAR_CH_WOMAN_FOX,CHAR_CH_WOMAN_FOX,1,0
85070000,CHAR_CH_WOMAN_KANGSI,CHAR_CH_WOMAN_KANGSI,1,0
86070000,CHAR_CH_WOMAN_KISAENG,CHAR_CH_WOMAN_KISAENG,1,0
87070000,CHAR_CH_WOMAN_MERCHANT,CHAR_CH_WOMAN_MERCHANT,1,0
88070000,CHAR_CH_WOMAN_NECROMENCERB,CHAR_CH_WOMAN_NECROMENCERB,1,0
89070000,CHAR_CH_WOMAN_NECROMENCERW,CHAR_CH_WOMAN_NECROMENCERW,1,0
8A070000,CHAR_CH_WOMAN_NOBLEGIRL,CHAR_CH_WOMAN_NOBLEGIRL,1,0
8B070000,CHAR_CH_WOMAN_SCHOLAR,CHAR_CH_WOMAN_SCHOLAR,1,0
8C070000,CHAR_CH_WOMAN_WARRIOR,CHAR_CH_WOMAN_WARRIOR,1,0
8D070000,MOB_CH_MANGNYANG,Mangyang,1,54
8E070000,MOB_CH_BIGEYEGHOST_CLON,Small-eyed Ghost,2,55
8F070000,MOB_CH_BIGEYEGHOST,Big-eyed Ghost,3,85
90070000,MOB_CH_GYO_CLON,Old Weasel,4,83
91070000,MOB_CH_GYO,Weasel,5,119
92070000,MOB_CH_WATERGHOST_CLON,Water Ghost slave,6,114
93070000,MOB_CH_WATERGHOST,Water Ghost,7,156
94070000,MOB_CH_STONEGHOST_CLON,Broken Stone Ghost,8,204
95070000,MOB_CH_STONEGHOST,Stone Ghost,9,194
96070000,MOB_CH_YEOHA_CLON,Decayed Yeoha,10,249
97070000,MOB_CH_YEOHA,Yeoha,10,249
98070000,MOB_CH_BANDITARCHER_CLON,Bandit bowman,15,514
99070000,MOB_CH_BANDITARCHER,Bandit archer,12,324
9A070000,MOB_CH_TIGER_CLON,Young Tiger,13,387
9B070000,MOB_CH_TIGER,Tiger,14,509
9C070000,MOB_CH_BANDIT_CLON,Bandit surbodinate,11,310
9D070000,MOB_CH_BANDIT,Bandit,16,755
9E070000,MOB_CH_TOMBSTONE_CLON,Tomb Stone Ghost,8,204
9F070000,MOB_CH_TOMBSTONE,Tomb Stone ,9,194
A0070000,MOB_CH_WHITETIGER_CLON,Black Tiger,17,749
A1070000,MOB_CH_WHITETIGER,White Tiger,18,809
A2070000,MOB_CH_TIGERWOMAN,Tiger Girl,20,598720
A3070000,MOB_CH_CHAKJI_CLON,Chakji Worker,19,958
A4070000,MOB_CH_CHAKJI,Chakji,20,1031
A6070000,MOB_WC_GHOSTBUG,Ghost Bug,21,1106
A8070000,MOB_WC_DEVILBUG,Devil Bug,22,1184
AA070000,MOB_WC_EARTHGHOST_CLON,Meek Earth Ghost,28,1535
AB070000,MOB_WC_EARTHGHOST,Earth Ghost,27,1451
AC070000,MOB_WC_GUNPOWDERGHOST_CLON,Meek Gun Powder,27,1451
